mibig_acc	genes
BGC0001037	EAL85109.1/psoE;EAL85124.1/fapR;EAL85123.1/No gene ID;EAL85122.1/psoF; EDP49164.1/psoG
BGC0001068	ctg1_orforf000000/ctg1_orforf000000
BGC0001092	AGS06886.1/dipS;AGS06887.1/dipT
BGC0001108	AAW33970.1/No gene ID;AAW33971.1/PedL;AAW33972.1/PedM;AAW33973.1/PedN;AAW33974.1/PedO;AAW33975.1/PedP;AAW33976.1/PedQ;AAW33977.1/PedR
BGC0001120	ABC36203/burA;ABC35796/burF;-/burH
BGC0001123	AOR_1_34164, XP_001818590/aclH
BGC0001134	-/PpyS
BGC0001135	AFP87549/BicA
BGC0001136	DMBS/dmbS;DMBC/dmbC;DMBB/dmbB;DMBA/dmbA
BGC0001137	protein_id=AGL76722.1/mcbC;protein_id=AGL76721.1/mcbB;protein_id=AGL76720.1/mcbA
BGC0001138	protein_id=AET51843.1/mtdE;protein_id=AET51839.1/mtdA;protein_id=AET51840.1/mtdB;protein_id=AET51841.1/mtdC;protein_id=AET51842.1/mtdD;protein_id=AET51844.1/mtdF;protein_id=AET51845.1/mtdG;protein_id=AET51846.1/mtdM1;protein_id=AET51847.1/mtdH;protein_id=AET51848.1/mtdI;protein_id=AET51849.1/mtdG1;protein_id=AET51850.1/mtdJ;protein_id=AET51851.1/mtdR1;protein_id=AET51852.1/mtdK;protein_id=AET51853.1/mtdL;protein_id=AET51872.1/mtdM;protein_id=AET51854.1/mtdN;protein_id=AET51855.1/mtdO;protein_id=AET51856.1/mtdP;protein_id=AET51857.1/mtdQ;protein_id=AET51858.1/mtdS;protein_id=AET51859.1/mtdT;protein_id=AET51860.1/mtdR2;protein_id=AET51861.1/mtdU;protein_id=AET51862.1/mtdG2;protein_id=AET51863.1/mtdM2;protein_id=AET51864.1/mtdV;protein_id=AET51865.1/mtdM3;protein_id=AET51866.1/mtdR3;protein_id=AET51867.1/mtdW;protein_id=AET51868.1/mtdM4
BGC0001141	AIA58903/Bref-TH;AIA58895/No Gene ID;AIA58896/No Gene ID;AIA58897/No Gene ID;AIA58898/No Gene ID;AIA58899/Bref-PKS
BGC0001145	WP_004943462/ctmI;WP_004943465/ctmB;WP_004943468/ctmA;WP_004943471/ctmD;WP_004943473/ctmE;WP_004943476/ctmF;WP_004943480/ctmG;WP_004943483/ctmJ;WP_004943486/ctmK;WP_004943488/ctmH
BGC0001147	AIS24865.1/dst23;AIS24866.1/dst24;AIS24867.1/dst25;AIS24868.1/dst14;AIS24869.1/dst26
BGC0001158	CCH26291.1/bik3;CCH26292.1/bik4;CCH26293.1/bik6;CCH26294.1/bik5;CCH26295.1/bik1
BGC0001166	AGQ43601.1/TOXA;AGQ43602.1/TOXC;AGQ43603.1/TOXD;AGQ43604.1/TOXE;AGQ43605.1/TOXF;AGQ43606.1/TOXG
BGC0001169	GI:570518041/pieB1;GI:570518044/pieB2;GI:570518045/pieE
BGC0001170	CLOSPO_01168/closA;CLOSPO_01169/closB;CLOSPO_01170/closC;CLOSPO_01171/closD;CLOSPO_01172/closE;CLOSPO_01173/closF;CLOSPO_01174/closG;CLOSPO_01175/closH;CLOSPO_01176/closI
BGC0001171	-/llsA
BGC0001173	BAT_2475/pznF;BAT_2474/pznK;BAT_2473/pznG;BAT_2472/pznH;BAT_2471/pznI;BAT_4209/pznA;BAT_2470/pznJ;BAT_2469/pznC;BAT_2468/pznD;BAT_2467/pznB;BAT_2466/pznE;BAT_2465/pznL
BGC0001174	-/pznA
BGC0001177	-/MsnM6
BGC0001180	plu2234/stlA;plu2163/stlC;plu2164/stlD;plu2165/stlE
BGC0001182	XP_001220460/CHGG_01239 ;XP_001220463/CHGG_01242-1;XP_001220463/CHGG_01242-2
BGC0001184	ABS75236.1/dhbA;ABS75235.1/dhbC;ABS75234.1/dhbE;ABS75233.1/dhbB;ABS75232.1/ABS75232.1
BGC0001208	AGE25479.1/poaB;AGE25480.1/poaC;AGE25481.1/abc1;AGE25482.1/abc2;AGE25483.1/luxR2
BGC0001221	CnqPT1/cnqPT1
BGC0001228	WP_028678149.1/rtmO;WP_043555673.1/rtmM;WP_051419351.1/rtmL;WP_051419347.1/rtmK;WP_051419352.1/rtmJ;WP_043555682.1/rtmI;WP_028678152.1/rtmH;WP_051419348.1/rtmG;WP_028678153.1/rtmF;WP_051419353.1/rtmE;WP_051419354.1/rtmD;WP_051419355.1/rtmC;WP_043555647.1/rtmB;WP_043555649.1/rtmA
BGC0001263	ctg1_orforf000000/ctg1_orforf000000
BGC0001283	WP_016325503.1/SLI_1090;WP_016325505.1/SLI_1092;WP_016325508.1/SLI_1095;WP_042799412.1/SLI_1101;WP_016325491.1/SLI_1077;WP_016325492.1/SLI_1078
BGC0001327	No protein ID/No gene ID
BGC0001331	WP_019032751.1/No gene ID;WP_019032763.1/No gene ID;WP_019032764.1/No gene ID
BGC0001347	ANQ43348.1/No gene ID;ANQ43349.1/No gene ID
BGC0001348	No protein ID/hbaAIII;No protein ID/hbaAIV;No protein ID/hbaD;WP_037966912.1/hbaI
BGC0001417	No protein ID/orf1;No protein ID/orf2;No protein ID/orf3;No protein ID/orf4;No protein ID/orf5;No protein ID/orf6;No protein ID/orf7;No protein ID/orf8
BGC0001418	No protein ID/orf1;No protein ID/orf2;No protein ID/orf3;No protein ID/orf4;No protein ID/orf5;No protein ID/orf6;No protein ID/orf7;No protein ID/orf8
BGC0001419	No protein ID/orf1;No protein ID/orf2;No protein ID/orf3;No protein ID/orf4;No protein ID/orf5;No protein ID/orf6;No protein ID/orf7;No protein ID/orf8
BGC0001420	No protein ID/orf1;No protein ID/orf2;No protein ID/orf3;No protein ID/orf4;No protein ID/orf5;No protein ID/orf6;No protein ID/orf7;No protein ID/orf8;No protein ID/orf9
BGC0001421	No protein ID/orf1;No protein ID/orf2;No protein ID/orf3;No protein ID/orf4;No protein ID/orf5;No protein ID/orf6;No protein ID/orf7;No protein ID/orf8;No protein ID/orf9
BGC0001422	No protein ID/orf1;No protein ID/orf2;No protein ID/orf3;No protein ID/orf4;No protein ID/orf5;No protein ID/orf6;No protein ID/orf7;No protein ID/orf8;No protein ID/orf9;No protein ID/orf10
BGC0001423	No protein ID/orf1;No protein ID/orf2;No protein ID/orf3;No protein ID/orf4;No protein ID/orf5;No protein ID/orf6;No protein ID/orf7;No protein ID/orf8;No protein ID/orf9
BGC0001424	No protein ID/orf1;No protein ID/orf2;No protein ID/orf3;No protein ID/orf4;No protein ID/orf5;No protein ID/orf6;No protein ID/orf7;No protein ID/orf8;No protein ID/orf9;No protein ID/orf10
BGC0001425	No protein ID/orf1;No protein ID/orf2;No protein ID/orf3;No protein ID/orf4;No protein ID/orf5;No protein ID/orf6;No protein ID/orf7;No protein ID/orf8;No protein ID/orf9
BGC0001426	No protein ID/orf1;No protein ID/orf2;No protein ID/orf3;No protein ID/orf4;No protein ID/orf5;No protein ID/orf6;No protein ID/orf7;No protein ID/orf8;No protein ID/orf9
BGC0001427	No protein ID/orf1;No protein ID/orf2;No protein ID/orf3;No protein ID/orf4;No protein ID/orf5;No protein ID/orf6;No protein ID/orf7;No protein ID/orf8;No protein ID/orf9
BGC0001428	No protein ID/orf1;No protein ID/orf2;No protein ID/orf3;No protein ID/orf4;No protein ID/orf5;No protein ID/orf6;No protein ID/orf7;No protein ID/orf8;No protein ID/orf9;No protein ID/orf10
BGC0001429	No protein ID/orf1;No protein ID/orf2;No protein ID/orf3;No protein ID/orf4;No protein ID/orf5;No protein ID/orf6;No protein ID/orf7;No protein ID/orf8
BGC0001430	No protein ID/orf1;No protein ID/orf2;No protein ID/orf3;No protein ID/orf4;No protein ID/orf5;No protein ID/orf6;No protein ID/orf7;No protein ID/orf8
BGC0001431	No protein ID/orf1;No protein ID/orf2;No protein ID/orf3;No protein ID/orf4;No protein ID/orf5;No protein ID/orf6;No protein ID/orf7;No protein ID/orf8
BGC0001432	No protein ID/orf1;No protein ID/orf2;No protein ID/orf3
BGC0001438	No protein ID/wmc23
BGC0001439	OWA00000/cvm17
BGC0001452	sipR1/sipR1;sipS3/sipS3;sipS2/sipS2;sipS1/sipS1;sipP5/sipP5;sipIB3/sipIB3;sipIB1/sipIB1;SipIB2/SipIB2;sipS15/sipS15;sipP4/sipP4;sipP3/sipP3;sipR2/sipR2;sipT2/sipT2;sipT1/sipT1;sipB/sipB;sipP2/sipP2;sipP1/sipP1;sipO1/sipO1;sipL7/sipL7;sipL6/sipL6;sipL1/sipL1;sipL2/sipL2;sipL3/sipL3;sipL4/sipL4;sipL5/sipL5;sipS4/sipS4;sipS7/sipS7;sipS6/sipS6;sipS10/sipS10;sipS8/sipS8;sipS9/sipS9;sipS5a/sipS5a;sipO2/sipO2;sipS14/sipS14;sipS11/sipS11;sipS13/sipS13
BGC0001453	desaE/desaE;desaF/desaF;desaA/desaA;desaB/desaB;desaC/desaC;desaD/desaD
BGC0001454	gcsA/gcsA
BGC0001455	antaA/antaA;antaB/antaB;antaC/antaC;antaD/antaD;antaE/antaE;antaF/antaF;antaG/antaG;antaH/antaH;antaI/antaI;antaJ/antaJ;antaK/antaK;antaL/antaL;antaM/antaM;antaN/antaN;antaO/antaO;antaP/antaP
BGC0001456	crtaV/crtaV;crtaB/crtaB;crtaI/crtaI;crtaE/crtaE;crtaQ/crtaQ;crtaY/crtaY;crtaT/crtaT;crtaU/crtaU
BGC0001469	RAT94096.1/marM
BGC0001479	ACC81018.1/hphB;ACC81019.1/hphC;ACC81020.1/hphD;ACC81022.1/aptB;ACC81023.1/aptC;ACC81024.1/aptD;ACC81025.1/hphA/aptE;ACC81026.1/aptF
BGC0001799	REPI1/REPI1;REPI2/REPI2;SalSyn1/SalSyn1;O-methyltransferase-1/O-methyltransferase-1;SalSyn2/SalSyn2;O-methyltransferase-2/O-methyltransferase-2;SalAT2/SalAT2;SalR2/SalR2;THS2/THS2;THS1/THS1;SalR1/SalR1;SalAT1/SalAT1
